dataset,experiment,experiment_run,best_epoch,best_selection_metric,best_selection_value,hidden_dims,dropout,learning_rate,weight_decay,seed,normalize_features,label_smoothing,epochs_completed,train_accuracy,val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,running_time_seconds
cora,paper_gcn,paper_gcn_seed1,167,val_loss,0.8836528062820435,16,0.5,0.01,0.0005,1,True,0.0,177,0.9928571428571429,0.764,0.765,0.7472985914566488,0.7791399619957273,0.7568902349889758,0.7880322174569099,0.765,0.7691539945720964,3.7307772636413574
cora,paper_gcn,paper_gcn_seed2,149,val_loss,0.8905797004699707,16,0.5,0.01,0.0005,2,True,0.0,159,0.9928571428571429,0.796,0.775,0.7476603220009802,0.7816196970591516,0.7584370196157353,0.7983332419511565,0.775,0.7795223506857578,1.7738704681396484
cora,paper_gcn,paper_gcn_seed3,132,val_loss,0.9524922370910645,16,0.5,0.01,0.0005,3,True,0.0,142,0.9928571428571429,0.788,0.769,0.7459427887219222,0.7778402071210999,0.75523607749542,0.7932824605539661,0.769,0.7736118670798189,1.6968913078308105
cora,paper_gcn,paper_gcn_seed4,181,val_loss,0.892552375793457,16,0.5,0.01,0.0005,4,True,0.0,191,0.9928571428571429,0.78,0.758,0.7378168364142933,0.7691257377267847,0.7459540310661011,0.7834588625142787,0.758,0.7626575810550709,2.0813422203063965
cora,paper_gcn,paper_gcn_seed5,125,val_loss,0.9866443872451782,16,0.5,0.01,0.0005,5,True,0.0,135,0.9857142857142858,0.748,0.754,0.7340976152459792,0.7625517966749543,0.7414574088247434,0.7804480643152079,0.754,0.7601386635242535,1.6086585521697998
cora,paper_gcn,paper_gcn_seed6,145,val_loss,0.8871331214904785,16,0.5,0.01,0.0005,6,True,0.0,155,0.9928571428571429,0.774,0.757,0.7382653299029435,0.7716588274654123,0.7464998652757443,0.7857291931291147,0.757,0.7623713051870611,1.7190179824829102
cora,paper_gcn,paper_gcn_seed7,117,val_loss,0.9595367312431335,16,0.5,0.01,0.0005,7,True,0.0,127,0.9857142857142858,0.774,0.763,0.7521372986536116,0.7704863912778226,0.7516982276481162,0.7981461307413935,0.763,0.7695765537362766,1.4756157398223877
cora,paper_gcn,paper_gcn_seed8,199,val_loss,0.848703145980835,16,0.5,0.01,0.0005,8,True,0.0,200,0.9928571428571429,0.782,0.767,0.7502766384250888,0.7732913930599563,0.7546964755113741,0.7927380773539646,0.767,0.7722125914530389,2.1995034217834473
cora,paper_gcn,paper_gcn_seed9,176,val_loss,0.9186376333236694,16,0.5,0.01,0.0005,9,True,0.0,186,0.9928571428571429,0.762,0.76,0.739055572505353,0.7735188064296759,0.7488606572059193,0.7862800533731364,0.76,0.7636871056495954,2.208995819091797
cora,paper_gcn,paper_gcn_seed10,145,val_loss,0.912091851234436,16,0.5,0.01,0.0005,10,True,0.0,155,0.9928571428571429,0.768,0.767,0.7471773774520186,0.7730175130161354,0.7519013724085287,0.7947144284416282,0.767,0.7720618407899819,1.740116834640503
cora,baseline,baseline,16,val_accuracy,0.806,64,0.5,0.01,0.0005,2,True,0.0,96,0.95,0.806,0.782,0.7796419431323832,0.7788984446237511,0.7765865259557438,0.7953351537575347,0.782,0.7862613536916313,0.9768657684326172
cora,wide,wide,15,val_accuracy,0.79,128,0.5,0.01,0.0005,2,True,0.0,95,0.9642857142857143,0.79,0.783,0.7688902106419703,0.7925068388010941,0.7754889880190594,0.8035797152479647,0.783,0.7873217926526002,0.9985153675079346
cora,deep,deep,41,val_accuracy,0.764,128-64,0.55,0.005,0.0005,2,True,0.0,121,0.9642857142857143,0.764,0.75,0.7283302295404023,0.7633684621389539,0.7386745132145176,0.7735856812552031,0.75,0.7530564823182385,1.3261218070983887
cora,low_dropout,low_dropout,19,val_accuracy,0.8,64,0.35,0.01,0.0005,2,True,0.0,99,0.9428571428571428,0.8,0.79,0.7800331844967012,0.79384475101516,0.7823537734245186,0.8081857633802086,0.79,0.7950293038276522,1.0263621807098389
cora,cora_tuned,cora_tuned,21,val_accuracy,0.812,64,0.25,0.01,0.0005,4,True,0.0,111,0.9571428571428572,0.812,0.784,0.7687063395236546,0.7732698543898434,0.7665268403214567,0.7994108543334876,0.784,0.7873159223069525,1.143165111541748
pubmed,paper_gcn,paper_gcn_seed1,194,val_loss,0.5625999569892883,16,0.5,0.01,0.0005,1,True,0.0,200,1.0,0.804,0.781,0.7852590400020492,0.7798252778333511,0.7747486128136553,0.7953327556678012,0.781,0.7788812310742187,2.3533592224121094
pubmed,paper_gcn,paper_gcn_seed2,132,val_loss,0.5921835899353027,16,0.5,0.01,0.0005,2,True,0.0,142,1.0,0.782,0.775,0.7750750655658223,0.7643552657903099,0.7633828982465801,0.7881436508992036,0.775,0.7738555461630431,1.5782084465026855
pubmed,paper_gcn,paper_gcn_seed3,170,val_loss,0.5670017004013062,16,0.5,0.01,0.0005,3,True,0.0,180,1.0,0.798,0.781,0.7826454946020164,0.7757269564057602,0.7733609018083026,0.7918413144826189,0.781,0.7793608164591863,2.066152334213257
pubmed,paper_gcn,paper_gcn_seed4,162,val_loss,0.5899402499198914,16,0.5,0.01,0.0005,4,True,0.0,172,1.0,0.784,0.778,0.7810282095890155,0.7656299451982788,0.7671489708929812,0.7901279168303497,0.778,0.7764853887804462,2.0155978202819824
pubmed,paper_gcn,paper_gcn_seed5,142,val_loss,0.5890911817550659,16,0.5,0.01,0.0005,5,True,0.0,152,1.0,0.79,0.777,0.7810615749401938,0.771138989247565,0.7684317274627857,0.791775669848115,0.777,0.7751007621095509,1.779655933380127
pubmed,paper_gcn,paper_gcn_seed6,149,val_loss,0.5778879523277283,16,0.5,0.01,0.0005,6,True,0.0,159,1.0,0.798,0.79,0.7872709048008145,0.7791663234203806,0.7798821046329886,0.7963748673731966,0.79,0.7890885388763884,1.825134038925171
pubmed,paper_gcn,paper_gcn_seed7,176,val_loss,0.5730417370796204,16,0.5,0.01,0.0005,7,True,0.0,186,1.0,0.8,0.781,0.7902512168992616,0.7763391508675305,0.7748259270493719,0.7965870240072475,0.781,0.7784523691174315,2.095025062561035
pubmed,paper_gcn,paper_gcn_seed8,177,val_loss,0.5628516674041748,16,0.5,0.01,0.0005,8,True,0.0,187,1.0,0.796,0.797,0.7907341815514721,0.7935100169073314,0.7881164340304633,0.8046236782622691,0.797,0.7962237273354892,2.3614065647125244
